relative_path,sha256,size_bytes
.gitignore,581a274b2c9b439f6c12b4a6e008a114b5ca129788d2bac75b462bca85e4dcaf,323
.zenodo.json,9706637d8d7cb1bee17949d005d15c00b460ee489126749e4b481bb745a9cb4d,1347
CHANGELOG.md,86e97164f17c3710c40475fb7293d5bb212e952851aa416636d48ed02930f715,1114
CITATION.cff,121184523514570efb1a4d82d049cf0d55e7c650c66f0fc72a2d381c1d1c080a,1023
code_audit_report.md,62e9da6a84f75d11dece372e7d238b2bc029757de2d7d98bdba85c55ddb47ccb,5319
code_manifest.csv,4d87d229bd336374ef664ff8a80b5801667db2531e10e20e87d263003aea51d6,5475
config.yaml,6a104e52367559de8b38fae30c5c5375a64f949ae60509dbd80e4c05e1038201,1221
docs/03_analysis_dependency_map.md,950d9829964315254e99e0dc865e5dce79ab3f4cbc603d7fd8cd74e530bd42c4,4867
docs/04_preanalysis_status_report.md,63c5961df50d30ea9e4648548358e6bc9d7c1b873361a525661a8e0560742bd5,3859
docs/analysis_audit_report_v9.md,fa978b2877e9f256d2faf0b0334662481e547d3233fe0aa8e5faf78697f475fc,5714
docs/analysis_flowchart.pdf,b8310c32f5425f9d89eb44e1781428394090446acdb94e15b695e3cade42ec37,3415
docs/environment_validation_report.md,e9e2dc98ed5ce6ce389f2157d1a876d453c89e2d61d8b5cf9a52413e7b677116,3724
docs/final_numeric_consistency_check.md,82be1dfd8098672485b1b89c404a483179a2d299397cd17523eb082f5ddeb7e9,3967
docs/final_repository_qa.md,6cd230ea58e1cc0d0f7738935da48bacd0934c2042e27a6a8e22f90eb35cb416,5067
docs/GSE102556_donor_audit_report.md,ae31f38c5700748f239d72de9a15de979e7ee78a3517cdf0973a00066cb59632,2601
docs/HPA_liver_specificity_report.md,7b8ff7ffe98d55d7f732d56479dceef7623a285dcf34b92b35f3c0acc208a974,586
docs/liver_module_preservation_report.md,698acec9b8265ab2aa26c5d79937f167db0ea5707c7071956972a3543676b7f2,938
docs/matched_random_module_design.md,005bf630619c0b134eb5ca737144dbc2b801a57fe482881b4015c2d3ec25a5e2,842
docs/matched_random_module_design_MDD.md,ac797ad23e675c5c1c21886c54f953814f588dd7a73c2f21e5ef98a863c631b5,721
docs/raw_data_integrity_check.md,03fc70387212828c0ad70fa0cb1353e7b04d9e0f659d7e3a148af5d79bd849fa,229
docs/raw_data_sha256_final.csv,dcbfa9247a50f42b2fc1254e5ff14b2cde924456927b5b470862ff6e3f8858af,304433
docs/repository_structure.pdf,699e849f7e3d5a2b7e2ff3744322cd95d9bce0b068eb389511bc5916204cfed8,3064
docs/reproducibility_protocol.pdf,63b284da1a888739a9e2dc72c7c414bf620418fe8228e8181d917c4f9035548c,4816
environment/package_versions.csv,fa26d0b41af036e8fded6d591061aa9aa40799c2db1d615de6165bac4f4346da,1650
environment/python_requirements.txt,f9489a897f2b5d4127f5bcb8c4892ca3c092ac1161864454387e00619bf53e74,16
environment/Python_version.txt,48183884cb8522a893976475dfcdbfc10f35ef2bf07148e1fc0e1070004ad61f,31
environment/R_version.txt,16fffebd6178a54d513c712a21f17613e7182f0b9084261722ceb4eda7db948f,69
environment/random_seeds.txt,dbba62a782c30c240d72cfec041193da9ad4750498d706ab0727de2d6b6e7133,516
environment/renv.lock,0fe3a7ab5c14117750b9e43f25e71729d9e72df4b0db436692ff1b3f8aac2a49,418588
environment/sessionInfo.txt,79d2b306a4a7d34b723be7abc4ef8aebb51c8a7b36009278271f4d1be8983dd8,629
figures/Fig1.tiff,81b739d3c5726ebf561d1021c056f43c58f83b4286ca6eef1f4c3879b4f9d678,551400
figures/Fig2.tiff,61b335c6e078eaf716866c69ff50d268faf4907405a862500b89df4b2ec6a826,662644
figures/Fig3.tiff,3360d55a073a28f0e7cde9821e3d1307c0b769d46b99aacc0a5a9d12f1e8ac97,624648
figures/Fig4.tiff,deb7f49446947415cd36cb0e30c4f657f72f16d448b04443c6e747d6c69cd4c8,673468
figures/Fig5.tiff,4f60d97c6869736048b3a8ca00ba187e36649990f9ad1b071794dd8875d78dbb,970364
figures/Fig6.tiff,3e3681d3a6869de5ce64cc990d351c6b0e9f01709259befc6e376a50639deb6b,880540
github_repository_audit_report.docx,0195affc49c7dc01e64869cbb48f3c92ab1863584899ef4456c6211ce8acb9d4,40152
LICENSE,7bfc8a835d1c1cbea32f8cebcc6880e62b62f55cdc34da3985019ea6ef20e5a7,1272
metadata/dataset_preprocessing_registry.xlsx,fa603948e11fbef96eb1bc18585ce45cc1affb1256bb575c8e2b6dd4b54f5b8c,9610
metadata/donor_crosswalk.xlsx,15f745e6f5297e0000a2b09ce5902bb6473fb3a91995205f31cace2c506cbdee,43430
metadata/GEO_dataset_registry.xlsx,fea20399923a470b16b05038d9e147e2e2e5f43bf30d10ab0fe41e9c5cac98f5,9292
metadata/module_definitions.xlsx,204c9c7e334e663edb1ee013ad33b95256c0cd9f4ced079359be6f811dff3199,255963
metadata/probe_mapping_summary.xlsx,a2bc69f5987ceb99fb185bbb6e8d9a3d2b65b1f7d2b6dde5ca62df8468fb575e,51996
metadata/sample_registry.xlsx,fa0e5aede4f2943500c34893483a956c7689f31c117b7d95cd9c10e15593e2ea,87300
metadata/source_csv/dataset_preprocessing_registry.csv,145079333f4adf441a7686f2ea78638a39c4f483bc8c78211eb14b8a3802a7c0,8528
metadata/source_csv/GSE102556_sample_donor_crosswalk.csv,1700a1b60453926090260c67849e4f6ec18d360b59c3e6355fa10082e240bdb3,91915
metadata/source_csv/GSE48350_donor_region_map.csv,ee975d18b97317bb98f238007f68ca17fe78696a0d49e490468ff1ab477b69b9,34861
metadata/source_csv/module_gene_coverage_by_mapping.csv,e4660cc1121cbbcf2e77b10a805508b39a589a7694c7959b1a5da6b98e12a72c,25376
metadata/source_csv/module_gene_lists_24_long.csv,53129a0e05295931c99cd0316d4533a3995466959b9708dd292af6ced94b19a6,505090
metadata/source_csv/module_gene_lists_24_summary.csv,b8ff618dbfd22476514a961c4fab9cbf9adebdbd7b6149043d4ee464dafca76a,686
